,season,league_name,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
45,2021-2022,Bundesliga,Manuel Riemann,de GER,GK,Bochum,33-066,1988,11.0,11.0,990.0,11.0,18.0,1.64,57.0,40.0,68.4,4.0,1.0,6.0,5.0,45.5,2.0,0.0,2.0,0.0,100.0,1.0,1.0,1.0,19.4,0.34,2.4,0.21,178.0,394.0,45.2,438.0,25.0,73.1,51.9,94.0,78.7,56.6,102.0,12.0,11.8,20.0,1.82,17.8
46,2021-2022,Bundesliga,Alexander Schwolow,de GER,GK,Hertha BSC,29-165,1992,11.0,11.0,990.0,11.0,24.0,2.18,48.0,26.0,56.3,4.0,1.0,6.0,1.0,9.1,3.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,21.7,0.41,-2.3,-0.21,72.0,183.0,39.3,298.0,63.0,38.3,35.7,101.0,68.3,52.9,119.0,5.0,4.2,5.0,0.45,12.6
47,2021-2022,Bundesliga,Yann Sommer,ch SUI,GK,M'Gladbach,32-332,1988,11.0,11.0,990.0,11.0,14.0,1.27,48.0,35.0,70.8,4.0,3.0,4.0,1.0,9.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.4,0.32,2.4,0.22,66.0,151.0,43.7,372.0,51.0,32.5,33.6,72.0,41.7,39.4,73.0,5.0,6.8,12.0,1.09,15.4
48,2021-2022,Bundesliga,Kevin Trapp,de GER,GK,Eint Frankfurt,31-129,1990,11.0,11.0,990.0,11.0,16.0,1.45,55.0,39.0,70.9,2.0,6.0,3.0,1.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.7,0.33,1.7,0.16,83.0,222.0,37.4,330.0,43.0,49.1,38.0,100.0,60.0,48.8,89.0,3.0,3.4,13.0,1.18,16.3
49,2021-2022,Bundesliga,Robin Zentner,de GER,GK,Mainz 05,27-017,1994,11.0,11.0,990.0,11.0,11.0,1.0,35.0,25.0,71.4,5.0,2.0,4.0,4.0,36.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.32,0.7,0.07,44.0,142.0,31.0,258.0,62.0,39.9,37.1,84.0,46.4,43.5,90.0,6.0,6.7,14.0,1.27,16.7
50,2021-2022,La-Liga,Julen Agirrezabala,es ESP,GK,Athletic Club,20-323,2000,2.0,2.0,180.0,2.0,1.0,0.5,5.0,4.0,80.0,0.0,2.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.11,-0.4,-0.22,4.0,16.0,25.0,30.0,8.0,36.7,38.9,16.0,31.3,31.9,21.0,1.0,4.8,4.0,2.0,17.0
51,2021-2022,La-Liga,Sergio Asenjo,es ESP,GK,Villarreal,32-139,1989,2.0,2.0,180.0,2.0,4.0,2.0,7.0,3.0,42.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.4,-1.2,-0.61,5.0,11.0,45.5,39.0,7.0,17.9,28.3,14.0,28.6,32.5,24.0,1.0,4.2,2.0,1.0,17.1
52,2021-2022,La-Liga,Édgar Badía,es ESP,GK,Elche,29-275,1992,1.0,1.0,90.0,1.0,2.0,2.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.7,0.34,0.7,0.66,5.0,11.0,45.5,22.0,2.0,36.4,34.0,6.0,50.0,41.2,11.0,1.0,9.1,1.0,1.0,17.7
53,2021-2022,La-Liga,Yassine Bounou,ma MAR,GK,Sevilla,30-223,1991,10.0,10.0,900.0,10.0,4.0,0.4,23.0,19.0,82.6,6.0,3.0,1.0,6.0,60.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,4.1,0.14,0.1,0.01,49.0,123.0,39.8,270.0,40.0,33.3,34.6,64.0,51.6,44.5,80.0,7.0,8.8,9.0,0.9,13.8
54,2021-2022,La-Liga,Claudio Bravo,cl CHI,GK,Betis,38-215,1983,7.0,7.0,630.0,7.0,11.0,1.57,28.0,19.0,60.7,4.0,1.0,2.0,1.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.1,0.4,2.1,0.3,50.0,125.0,40.0,181.0,22.0,54.7,45.4,42.0,61.9,50.3,77.0,2.0,2.6,2.0,0.29,12.4
55,2021-2022,La-Liga,Cárdenas,es ESP,GK,Levante,24-231,1997,4.0,4.0,360.0,4.0,6.0,1.5,8.0,3.0,37.5,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.31,-2.6,-0.66,22.0,58.0,37.9,91.0,13.0,50.5,41.0,26.0,46.2,36.8,39.0,1.0,2.6,3.0,0.75,14.8
56,2021-2022,La-Liga,Kiko Casilla,es ESP,GK,Elche,35-043,1986,12.0,12.0,1080.0,12.0,15.0,1.25,54.0,39.0,72.2,2.0,4.0,6.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.26,-1.0,-0.08,79.0,218.0,36.2,288.0,62.0,52.1,41.7,119.0,57.1,44.2,121.0,7.0,5.8,10.0,0.83,15.5
57,2021-2022,La-Liga,Jasper Cillessen,nl NED,GK,Valencia,32-206,1989,7.0,7.0,630.0,7.0,13.0,1.86,29.0,18.0,62.1,1.0,4.0,2.0,2.0,28.6,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,11.4,0.35,-0.6,-0.09,51.0,110.0,46.4,154.0,33.0,50.0,42.2,43.0,76.7,59.5,50.0,3.0,6.0,3.0,0.43,15.0
58,2021-2022,La-Liga,Thibaut Courtois,be BEL,GK,Real Madrid,29-187,1992,12.0,12.0,1080.0,12.0,13.0,1.08,44.0,32.0,72.7,8.0,3.0,1.0,3.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.26,-0.7,-0.06,32.0,96.0,33.3,318.0,63.0,21.7,30.6,67.0,40.3,38.4,103.0,12.0,11.7,8.0,0.67,14.2
