,season,league_name,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
79,2021-2022,La-Liga,Unai Simón,es ESP,GK,Athletic Club,24-156,1997,10.0,10.0,900.0,10.0,7.0,0.7,27.0,19.0,81.5,4.0,4.0,2.0,4.0,40.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.2,0.1,0.01,52.0,119.0,43.7,186.0,48.0,45.7,39.5,78.0,43.6,42.6,102.0,6.0,5.9,5.0,0.5,12.4
80,2021-2022,La-Liga,Antonio Sivera,es ESP,GK,Alavés,25-095,1996,3.0,2.0,187.0,2.1,3.0,1.44,9.0,7.0,77.8,0.0,1.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0.13,-0.9,-0.44,22.0,56.0,39.3,44.0,4.0,77.3,54.6,28.0,78.6,58.2,31.0,6.0,19.4,1.0,0.48,11.2
81,2021-2022,La-Liga,David Soria,es ESP,GK,Getafe,28-224,1993,13.0,13.0,1170.0,13.0,19.0,1.46,48.0,29.0,64.6,1.0,3.0,9.0,1.0,7.7,3.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,17.4,0.33,-1.6,-0.12,129.0,286.0,45.1,291.0,33.0,71.5,49.8,95.0,82.1,57.0,111.0,12.0,10.8,14.0,1.08,15.1
82,2021-2022,La-Liga,Marc-André ter Stegen,de GER,GK,Barcelona,29-198,1992,10.0,10.0,900.0,10.0,12.0,1.2,31.0,19.0,61.3,3.0,4.0,3.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.4,0.34,-1.6,-0.16,52.0,93.0,55.9,308.0,43.0,21.8,28.4,63.0,41.3,37.2,65.0,4.0,6.2,5.0,0.5,13.2
83,2021-2022,La-Liga,Rúben Vezo,pt POR,DF,Levante,27-203,1994,1.0,1.0,4.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,3.0,0.0,100.0,61.7,1.0,100.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0
84,2021-2022,La-Liga,Luca Zidane,fr FRA,"MF,GK",Rayo Vallecano,23-185,1998,1.0,1.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5
85,2021-2022,Serie-A,Emil Audero,it ITA,GK,Sampdoria,24-300,1997,12.0,12.0,1080.0,12.0,25.0,2.08,63.0,40.0,61.9,2.0,3.0,7.0,2.0,16.7,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,20.3,0.32,-3.7,-0.31,106.0,221.0,48.0,304.0,43.0,51.6,41.2,90.0,71.1,51.1,88.0,8.0,9.1,6.0,0.5,15.4
86,2021-2022,Serie-A,Vid Belec,si SVN,GK,Salernitana,31-161,1990,12.0,12.0,1080.0,12.0,26.0,2.17,61.0,37.0,59.0,2.0,1.0,9.0,1.0,8.3,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,18.5,0.29,-6.5,-0.54,66.0,170.0,38.8,201.0,45.0,48.8,42.6,100.0,72.0,53.1,101.0,7.0,6.9,6.0,0.5,13.7
87,2021-2022,Serie-A,Andrea Consigli,it ITA,GK,Sassuolo,34-291,1987,12.0,12.0,1080.0,12.0,18.0,1.5,38.0,24.0,60.5,4.0,2.0,6.0,2.0,16.7,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,13.2,0.28,-3.8,-0.31,98.0,184.0,53.3,436.0,55.0,36.0,33.8,84.0,32.1,28.9,110.0,11.0,10.0,2.0,0.17,11.5
88,2021-2022,Serie-A,Alessio Cragno,it ITA,GK,Cagliari,27-139,1994,11.0,11.0,990.0,11.0,22.0,2.0,53.0,32.0,62.3,1.0,3.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,21.5,0.37,-0.5,-0.05,102.0,236.0,43.2,297.0,38.0,54.5,42.4,102.0,72.5,51.7,123.0,8.0,6.5,8.0,0.73,15.2
89,2021-2022,Serie-A,Bartłomiej Drągowski,pl POL,"GK,DF",Fiorentina,24-087,1997,5.0,5.0,376.0,4.2,6.0,1.44,15.0,10.0,66.7,2.0,0.0,3.0,1.0,20.0,2.0,1.0,1.0,0.0,50.0,0.0,1.0,0.0,6.2,0.29,0.2,0.05,34.0,70.0,48.6,195.0,15.0,29.7,33.1,27.0,44.4,43.1,20.0,3.0,15.0,9.0,2.15,17.4
90,2021-2022,Serie-A,Samir Handanović,si SVN,GK,Inter,37-123,1984,12.0,12.0,1080.0,12.0,13.0,1.08,47.0,38.0,78.7,7.0,4.0,1.0,3.0,25.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,11.4,0.19,-0.6,-0.05,82.0,145.0,56.6,338.0,53.0,36.7,32.6,60.0,35.0,32.1,95.0,3.0,3.2,2.0,0.17,11.6
91,2021-2022,Serie-A,Luca Lezzerini,it ITA,GK,Venezia,26-235,1995,2.0,2.0,135.0,1.5,3.0,2.0,13.0,10.0,76.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.36,1.7,1.13,6.0,9.0,66.7,41.0,14.0,14.6,27.2,13.0,23.1,31.5,15.0,1.0,6.7,0.0,0.0,10.6
92,2021-2022,Serie-A,Niki Mäenpää,fi FIN,GK,Venezia,36-295,1985,6.0,5.0,495.0,5.5,9.0,1.64,18.0,11.0,61.1,0.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.1,0.37,-0.9,-0.17,18.0,60.0,30.0,129.0,31.0,38.0,35.7,39.0,28.2,29.2,53.0,4.0,7.5,1.0,0.18,12.1
93,2021-2022,Serie-A,Mike Maignan,fr FRA,GK,Milan,26-134,1995,7.0,7.0,630.0,7.0,5.0,0.71,23.0,18.0,82.6,6.0,1.0,0.0,3.0,42.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.24,1.5,0.21,32.0,80.0,40.0,193.0,33.0,34.7,35.1,38.0,34.2,38.1,45.0,5.0,11.1,7.0,1.0,15.9
94,2021-2022,Serie-A,Alex Meret,it ITA,GK,Napoli,24-237,1997,2.0,2.0,180.0,2.0,1.0,0.5,7.0,6.0,85.7,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.11,-0.2,-0.11,4.0,9.0,44.4,32.0,10.0,15.6,25.9,12.0,33.3,32.4,15.0,1.0,6.7,0.0,0.0,7.7
95,2021-2022,Serie-A,Vanja Milinković-Savić,rs SRB,GK,Torino,24-267,1997,12.0,12.0,1080.0,12.0,12.0,1.0,30.0,20.0,66.7,4.0,2.0,6.0,3.0,25.0,3.0,2.0,1.0,0.0,33.3,0.0,1.0,0.0,11.9,0.31,-0.1,-0.01,97.0,309.0,31.4,378.0,43.0,65.3,52.6,65.0,95.4,75.6,61.0,6.0,9.8,9.0,0.75,15.2
96,2021-2022,Serie-A,Lorenzo Montipò,it ITA,GK,Hellas Verona,25-267,1996,11.0,11.0,990.0,11.0,18.0,1.64,43.0,28.0,62.8,4.0,4.0,3.0,1.0,9.1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,15.3,0.31,-0.7,-0.07,76.0,214.0,35.5,260.0,53.0,61.5,45.4,76.0,71.1,49.6,101.0,6.0,5.9,4.0,0.36,13.7
97,2021-2022,Serie-A,Juan Musso,ar ARG,GK,Atalanta,27-192,1994,11.0,11.0,990.0,11.0,13.0,1.18,39.0,26.0,66.7,6.0,4.0,1.0,2.0,18.2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.7,0.32,-1.3,-0.11,64.0,132.0,48.5,267.0,55.0,31.1,33.7,76.0,64.5,49.3,78.0,7.0,9.0,7.0,0.64,15.3
98,2021-2022,Serie-A,David Ospina,co COL,GK,Napoli,33-075,1988,10.0,10.0,900.0,10.0,3.0,0.3,24.0,21.0,87.5,8.0,2.0,0.0,7.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.21,2.0,0.2,44.0,88.0,50.0,226.0,28.0,33.2,33.1,48.0,27.1,29.3,67.0,10.0,14.9,2.0,0.2,9.8
99,2021-2022,Serie-A,Ivor Pandur,hr CRO,GK,Hellas Verona,21-234,2000,1.0,1.0,90.0,1.0,3.0,3.0,7.0,4.0,57.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.39,-0.3,-0.3,9.0,16.0,56.3,21.0,3.0,57.1,42.2,6.0,66.7,45.2,1.0,0.0,0.0,0.0,0.0,16.0
100,2021-2022,Serie-A,Rui Patrício,pt POR,GK,Roma,33-272,1988,12.0,12.0,1080.0,12.0,15.0,1.25,48.0,35.0,72.9,6.0,1.0,5.0,4.0,33.3,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,15.7,0.29,0.7,0.06,66.0,126.0,52.4,255.0,44.0,40.8,36.0,76.0,28.9,31.9,88.0,3.0,3.4,8.0,0.67,13.3
101,2021-2022,Serie-A,Mattia Perin,it ITA,GK,Juventus,29-004,1992,3.0,3.0,270.0,3.0,4.0,1.33,8.0,4.0,50.0,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9,0.49,-0.1,-0.04,10.0,25.0,40.0,64.0,8.0,34.4,36.7,21.0,14.3,23.2,25.0,2.0,8.0,0.0,0.0,10.1
102,2021-2022,Serie-A,Ivan Provedel,it ITA,GK,Spezia,27-242,1994,5.0,5.0,450.0,5.0,7.0,1.4,19.0,15.0,73.7,2.0,1.0,2.0,1.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.4,0.2,-0.6,-0.13,36.0,102.0,35.3,187.0,16.0,48.7,43.1,19.0,57.9,45.3,42.0,3.0,7.1,6.0,1.2,17.9
103,2021-2022,Serie-A,Boris Radunović,rs SRB,GK,Cagliari,25-172,1996,1.0,1.0,90.0,1.0,4.0,4.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9,0.5,-1.1,-1.13,9.0,17.0,52.9,20.0,3.0,45.0,39.0,11.0,72.7,51.9,12.0,0.0,0.0,1.0,1.0,19.0
104,2021-2022,Serie-A,Pepe Reina,es ESP,GK,Lazio,39-075,1982,12.0,12.0,1080.0,12.0,19.0,1.58,41.0,23.0,58.5,6.0,3.0,3.0,2.0,16.7,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,17.6,0.39,-1.4,-0.12,87.0,162.0,53.7,363.0,57.0,36.6,33.8,82.0,35.4,32.7,107.0,5.0,4.7,8.0,0.67,13.9
105,2021-2022,Serie-A,Sergio Romero,ar ARG,GK,Venezia,34-265,1987,5.0,5.0,450.0,5.0,7.0,1.4,29.0,23.0,75.9,2.0,1.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,0.34,3.5,0.7,33.0,71.0,46.5,130.0,27.0,37.7,35.4,44.0,50.0,38.8,61.0,4.0,6.6,3.0,0.6,12.4
106,2021-2022,Serie-A,Marco Silvestri,it ITA,GK,Udinese,30-257,1991,12.0,12.0,1080.0,12.0,18.0,1.5,48.0,34.0,68.8,3.0,5.0,4.0,2.0,16.7,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,14.5,0.25,-2.5,-0.21,71.0,163.0,43.6,238.0,26.0,48.7,40.0,103.0,45.6,39.1,78.0,3.0,3.8,2.0,0.17,11.4
107,2021-2022,Serie-A,Salvatore Sirigu,it ITA,GK,Genoa,34-306,1987,12.0,12.0,1080.0,12.0,24.0,2.0,55.0,34.0,61.8,1.0,6.0,5.0,1.0,8.3,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,20.3,0.33,-2.7,-0.23,83.0,195.0,42.6,325.0,38.0,51.1,41.0,64.0,45.3,37.4,102.0,8.0,7.8,3.0,0.25,12.0
108,2021-2022,Serie-A,Łukasz Skorupski,pl POL,GK,Bologna,30-193,1991,12.0,12.0,1080.0,12.0,23.0,1.92,51.0,34.0,64.7,5.0,3.0,4.0,4.0,33.3,5.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,20.1,0.32,-1.9,-0.16,75.0,167.0,44.9,289.0,54.0,46.7,38.7,85.0,37.6,34.0,112.0,7.0,6.3,3.0,0.25,11.2
109,2021-2022,Serie-A,Marco Sportiello,it ITA,GK,Atalanta,29-188,1992,1.0,1.0,90.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,-0.2,-0.23,5.0,7.0,71.4,16.0,5.0,31.3,30.7,2.0,100.0,60.5,6.0,2.0,33.3,1.0,1.0,13.8
110,2021-2022,Serie-A,Wojciech Szczęsny,pl POL,GK,Juventus,31-210,1990,9.0,9.0,810.0,9.0,11.0,1.22,33.0,23.0,69.7,3.0,3.0,3.0,2.0,22.2,2.0,1.0,1.0,0.0,50.0,0.0,3.0,0.0,11.8,0.33,0.8,0.09,47.0,91.0,51.6,207.0,40.0,34.8,34.8,60.0,31.7,31.7,89.0,6.0,6.7,3.0,0.33,13.8
111,2021-2022,Serie-A,Ciprian Tătărușanu,ro ROU,GK,Milan,35-278,1986,5.0,5.0,450.0,5.0,6.0,1.2,16.0,13.0,75.0,4.0,1.0,0.0,1.0,20.0,3.0,2.0,1.0,0.0,33.3,0.0,0.0,1.0,6.3,0.23,1.3,0.26,32.0,70.0,45.7,130.0,9.0,43.8,39.7,31.0,41.9,42.1,41.0,2.0,4.9,4.0,0.8,12.9
112,2021-2022,Serie-A,Pietro Terracciano,it ITA,GK,Fiorentina,31-251,1990,8.0,7.0,702.0,7.8,8.0,1.03,20.0,13.0,65.0,4.0,0.0,3.0,2.0,28.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.36,0.0,0.0,68.0,131.0,51.9,324.0,32.0,36.1,34.3,40.0,35.0,34.5,50.0,6.0,12.0,8.0,1.03,16.3
113,2021-2022,Serie-A,Guglielmo Vicario,it ITA,GK,Empoli,25-038,1996,12.0,12.0,1080.0,12.0,23.0,1.92,61.0,42.0,65.6,5.0,1.0,6.0,2.0,16.7,4.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,20.0,0.3,0.0,0.0,45.0,127.0,35.4,290.0,61.0,30.3,32.1,101.0,38.6,37.4,128.0,9.0,7.0,8.0,0.67,13.5
114,2021-2022,Serie-A,Jeroen Zoet,nl NED,GK,Spezia,30-312,1991,7.0,7.0,630.0,7.0,19.0,2.71,40.0,22.0,55.0,1.0,1.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,0.0,3.0,0.0,17.7,0.4,-1.3,-0.19,29.0,81.0,35.8,181.0,41.0,32.0,33.8,54.0,42.6,39.4,52.0,3.0,5.8,5.0,0.71,13.7
115,2021-2022,Ligue-1,Stefan Bajic,fr FRA,GK,Saint-Étienne,19-326,2001,4.0,2.0,285.0,3.2,10.0,3.16,19.0,10.0,52.6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.6,0.46,-0.4,-0.14,15.0,48.0,31.3,65.0,14.0,44.6,37.6,25.0,76.0,54.2,27.0,1.0,3.7,5.0,1.58,16.3
116,2021-2022,Ligue-1,Walter Benítez,ar ARG,GK,Nice,28-240,1993,13.0,13.0,1170.0,13.0,10.0,0.77,39.0,31.0,79.5,7.0,3.0,3.0,5.0,38.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.29,2.8,0.22,52.0,134.0,38.8,243.0,47.0,37.0,34.3,76.0,57.9,45.5,84.0,5.0,6.0,9.0,0.69,15.5
117,2021-2022,Ligue-1,Paul Bernardoni,fr FRA,GK,Angers,24-210,1997,12.0,12.0,1080.0,12.0,15.0,1.25,37.0,25.0,67.6,4.0,5.0,3.0,4.0,33.3,3.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,12.0,0.25,-3.0,-0.25,49.0,114.0,43.0,226.0,77.0,32.3,35.2,94.0,43.6,39.7,126.0,16.0,12.7,7.0,0.58,14.4
118,2021-2022,Ligue-1,Dimitry Bertaud,fr FRA,GK,Montpellier,23-161,1998,5.0,5.0,450.0,5.0,9.0,1.8,26.0,18.0,65.4,2.0,1.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.7,0.3,-0.3,-0.06,44.0,91.0,48.4,121.0,27.0,52.1,40.0,48.0,58.3,45.5,46.0,7.0,15.2,0.0,0.0,11.3
119,2021-2022,Ligue-1,Marco Bizot,nl NED,GK,Brest,30-249,1991,13.0,13.0,1170.0,13.0,21.0,1.62,53.0,35.0,62.3,2.0,6.0,5.0,1.0,7.7,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,14.2,0.26,-4.8,-0.37,102.0,211.0,48.3,316.0,74.0,44.6,39.7,97.0,72.2,54.4,101.0,9.0,8.9,5.0,0.38,13.8
120,2021-2022,Ligue-1,Marc-Aurèle Caillard,fr FRA,GK,Metz,27-186,1994,1.0,0.0,3.0,0.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96,0.0,-1.11,1.0,1.0,100.0,1.0,0.0,100.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
121,2021-2022,Ligue-1,Leonardo César Jardim,br BRA,GK,Lille,26-239,1995,2.0,2.0,180.0,2.0,7.0,3.5,11.0,4.0,45.5,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,0.0,2.0,0.0,4.1,0.35,-2.9,-1.46,6.0,13.0,46.2,42.0,14.0,28.6,30.7,10.0,10.0,30.0,10.0,0.0,0.0,3.0,1.5,17.9
122,2021-2022,Ligue-1,Benoît Costil,fr FRA,GK,Bordeaux,34-134,1987,13.0,13.0,1170.0,13.0,27.0,2.08,68.0,44.0,64.7,2.0,6.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,23.7,0.31,-3.3,-0.26,99.0,241.0,41.1,349.0,47.0,49.0,40.6,90.0,77.8,55.6,96.0,8.0,8.3,13.0,1.0,16.0
123,2021-2022,Ligue-1,Arthur Desmas,fr FRA,GK,Clermont Foot,27-221,1994,13.0,13.0,1170.0,13.0,26.0,2.0,53.0,30.0,54.7,3.0,4.0,6.0,3.0,23.1,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,18.1,0.32,-6.9,-0.53,38.0,137.0,27.7,267.0,49.0,33.3,34.6,101.0,47.5,38.1,85.0,3.0,3.5,5.0,0.38,12.4
124,2021-2022,Ligue-1,Gianluigi Donnarumma,it ITA,GK,Paris S-G,22-262,1999,5.0,5.0,450.0,5.0,5.0,1.0,16.0,11.0,68.8,4.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.35,0.7,0.13,10.0,16.0,62.5,118.0,36.0,9.3,21.6,33.0,15.2,20.7,32.0,3.0,9.4,7.0,1.4,17.1
125,2021-2022,Ligue-1,Wuilker Faríñez,ve VEN,GK,Lens,23-272,1998,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.2,0.22,0.0,0.0,0.0,15.0,5.0,0.0,18.9,5.0,0.0,15.6,10.0,0.0,0.0,1.0,1.0,10.2
126,2021-2022,Ligue-1,Gauthier Gallon,fr FRA,GK,Troyes,28-205,1993,13.0,13.0,1170.0,13.0,21.0,1.62,63.0,44.0,69.8,3.0,4.0,6.0,2.0,15.4,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,20.4,0.29,-0.6,-0.05,117.0,254.0,46.1,369.0,69.0,48.8,40.5,113.0,65.5,46.6,133.0,11.0,8.3,7.0,0.54,12.8
127,2021-2022,Ligue-1,Alfred Gomis,sn SEN,GK,Rennes,28-070,1993,12.0,12.0,1080.0,12.0,10.0,0.83,37.0,26.0,75.7,6.0,4.0,2.0,5.0,41.7,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,11.1,0.3,1.1,0.09,56.0,122.0,45.9,293.0,64.0,24.2,29.0,83.0,61.4,49.3,129.0,8.0,6.2,8.0,0.67,15.1
128,2021-2022,Ligue-1,Ivo Grbić,hr CRO,GK,Lille,25-300,1996,11.0,11.0,990.0,11.0,12.0,1.09,45.0,34.0,75.6,4.0,3.0,4.0,1.0,9.1,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,12.8,0.26,0.8,0.07,61.0,152.0,40.1,228.0,44.0,44.7,39.0,81.0,61.7,47.7,103.0,11.0,10.7,7.0,0.64,14.6
129,2021-2022,Ligue-1,Etienne Green,eng ENG,GK,Saint-Étienne,21-118,2000,11.0,11.0,882.0,9.8,18.0,1.84,44.0,27.0,59.1,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,12.4,0.28,-4.6,-0.47,58.0,140.0,41.4,224.0,44.0,41.5,37.9,76.0,61.8,49.8,72.0,5.0,6.9,8.0,0.82,15.7
130,2021-2022,Ligue-1,Alban Lafont,fr FRA,GK,Nantes,22-295,1999,13.0,13.0,1170.0,13.0,16.0,1.23,55.0,38.0,70.9,5.0,3.0,5.0,2.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,0.3,0.0,0.0,69.0,230.0,30.0,291.0,38.0,50.9,45.5,94.0,87.2,63.0,95.0,8.0,8.4,6.0,0.46,14.2
131,2021-2022,Ligue-1,Jean-Louis Leca,fr FRA,GK,Lens,36-054,1985,12.0,12.0,1080.0,12.0,14.0,1.17,39.0,27.0,69.2,6.0,3.0,3.0,3.0,25.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,13.8,0.32,-0.2,-0.02,56.0,140.0,40.0,256.0,64.0,39.8,36.8,74.0,51.4,43.5,92.0,15.0,16.3,6.0,0.5,13.3
132,2021-2022,Ligue-1,Anthony Lopes,pt POR,GK,Lyon,31-044,1990,12.0,12.0,1063.0,11.8,20.0,1.69,68.0,53.0,75.0,4.0,4.0,4.0,1.0,8.3,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,18.6,0.24,0.6,0.05,52.0,99.0,52.5,296.0,61.0,25.0,30.9,89.0,28.1,31.3,106.0,5.0,4.7,11.0,0.93,15.9
133,2021-2022,Ligue-1,Pau López,es ESP,GK,Marseille,26-336,1994,9.0,9.0,810.0,9.0,7.0,0.78,26.0,20.0,80.8,4.0,3.0,2.0,5.0,55.6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.28,1.8,0.2,37.0,88.0,42.0,274.0,37.0,25.9,28.9,62.0,27.4,29.8,45.0,5.0,11.1,6.0,0.67,15.4
134,2021-2022,Ligue-1,Steve Mandanda,fr FRA,GK,Marseille,36-231,1985,4.0,4.0,360.0,4.0,5.0,1.25,14.0,9.0,64.3,2.0,2.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.21,-1.0,-0.26,15.0,25.0,60.0,87.0,15.0,21.8,29.6,30.0,20.0,30.3,36.0,3.0,8.3,5.0,1.25,17.8
135,2021-2022,Ligue-1,Paul Nardi,fr FRA,GK,Lorient,27-180,1994,13.0,13.0,1170.0,13.0,20.0,1.54,56.0,39.0,69.6,3.0,6.0,4.0,3.0,23.1,4.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,19.5,0.31,-0.5,-0.04,50.0,216.0,23.1,217.0,45.0,55.8,45.2,117.0,81.2,61.9,136.0,5.0,3.7,2.0,0.15,12.5
136,2021-2022,Ligue-1,Keylor Navas,cr CRC,GK,Paris S-G,34-334,1986,8.0,8.0,720.0,8.0,8.0,1.0,29.0,21.0,72.4,7.0,1.0,0.0,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.4,0.26,-0.6,-0.07,21.0,36.0,58.3,166.0,39.0,16.3,27.7,56.0,16.1,23.3,71.0,4.0,5.6,5.0,0.63,13.1
137,2021-2022,Ligue-1,Alexander Nübel,de GER,GK,Monaco,25-045,1996,13.0,13.0,1170.0,13.0,16.0,1.23,40.0,28.0,67.5,5.0,3.0,5.0,2.0,15.4,4.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,14.5,0.29,-0.5,-0.04,52.0,154.0,33.8,298.0,46.0,37.2,35.7,84.0,51.2,44.4,86.0,5.0,5.8,9.0,0.69,17.1
138,2021-2022,Ligue-1,Jonas Omlin,ch SUI,GK,Montpellier,27-308,1994,8.0,8.0,720.0,8.0,10.0,1.25,34.0,24.0,70.6,3.0,3.0,2.0,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.9,0.26,-1.1,-0.13,52.0,127.0,40.9,238.0,44.0,36.6,34.9,81.0,49.4,41.6,70.0,3.0,4.3,3.0,0.38,13.5
139,2021-2022,Ligue-1,Alexandre Oukidja,dz ALG,GK,Metz,33-118,1988,13.0,13.0,1167.0,13.0,26.0,2.01,58.0,35.0,58.6,1.0,5.0,7.0,1.0,7.7,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,21.7,0.34,-2.3,-0.18,102.0,244.0,41.8,269.0,76.0,57.6,46.5,103.0,86.4,62.3,110.0,21.0,19.1,13.0,1.0,15.7
140,2021-2022,Ligue-1,Danijel Petković,me MNE,GK,Angers,28-173,1993,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.24,0.2,0.18,1.0,8.0,12.5,23.0,2.0,17.4,26.5,9.0,44.4,36.6,6.0,0.0,0.0,0.0,0.0,5.5
141,2021-2022,Ligue-1,Julian Pollersbeck,de GER,GK,Lyon,27-090,1994,2.0,1.0,105.0,1.2,1.0,0.86,6.0,6.0,100.0,1.0,0.0,0.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.07,0.4,0.3,5.0,11.0,45.5,28.0,7.0,35.7,35.1,6.0,16.7,24.8,6.0,0.0,0.0,0.0,0.0,13.0
